case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm87;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 18:48:38.367107
algorithm87;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 18:48:39.367107
algorithm87;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 18:48:40.367107
algorithm87;gemm_2e+07;2e+07;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2023-02-06 18:48:41.367107
algorithm87;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2023-02-06 18:48:42.367107
algorithm87;trsm_1e+07;1e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2023-02-06 18:48:43.367107
algorithm87;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp23 = (tmp70^T tmp68);2023-02-06 18:48:44.367107
algorithm87;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2023-02-06 18:48:45.367107
algorithm83;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 18:41:58.367107
algorithm83;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 18:41:59.367107
algorithm83;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 18:42:00.367107
algorithm83;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2023-02-06 18:42:01.367107
algorithm83;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2023-02-06 18:42:02.367107
algorithm83;trsm_1e+07;1e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2023-02-06 18:42:03.367107
algorithm83;trsm_1e+07;1e+07;trsm!('R', 'L', 'N', 'N', 1.0, ml3, ml0);tmp72 = (tmp70 L15^-1);2023-02-06 18:42:04.367107
algorithm83;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp24 = (tmp72^T tmp68);2023-02-06 18:42:05.367107
algorithm57;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 17:58:38.367107
algorithm57;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 17:58:39.367107
algorithm57;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 17:58:40.367107
algorithm57;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml3);tmp21 = (tmp12^T tmp68);2023-02-06 17:58:41.367107
algorithm57;gemm_2e+07;2e+07;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2023-02-06 17:58:42.367107
algorithm57;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2023-02-06 17:58:43.367107
algorithm57;trsv_1e+04;1e+04;trsv!('L', 'N', 'N', ml4, ml3);tmp23 = (L15^-1 tmp21);2023-02-06 17:58:44.367107
algorithm57;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml4, ml3);tmp24 = (L15^-T tmp23);2023-02-06 17:58:45.367107
algorithm40;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2023-02-06 17:30:18.367107
algorithm40;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2023-02-06 17:30:19.367107
algorithm40;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2023-02-06 17:30:20.367107
algorithm40;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2023-02-06 17:30:21.367107
algorithm40;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2023-02-06 17:30:22.367107
algorithm40;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2023-02-06 17:30:23.367107
algorithm40;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2023-02-06 17:30:24.367107
algorithm40;ml4 = qr_2.67e+06;2.67e+06;ml4 = qr!(ml4);(Q16 R17) = tmp14;2023-02-06 17:30:25.367107
