case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm0;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-10-20 12:38:24.388947
algorithm0;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);tmp1 = (A B);2022-10-20 12:38:25.388947
algorithm0;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-10-20 12:38:26.388947
algorithm2;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-10-20 12:41:44.388947
algorithm2;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);tmp4 = (tmp1 C);2022-10-20 12:41:45.388947
algorithm2;gemm_8.44e+05;8.44e+05;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-10-20 12:41:46.388947
algorithm4;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-10-20 12:45:04.388947
algorithm4;gemm_8.44e+05;8.44e+05;gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);tmp5 = (tmp2 D);2022-10-20 12:45:05.388947
algorithm4;gemm_8.44e+05;8.44e+05;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-10-20 12:45:06.388947
algorithm1;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-10-20 12:40:04.388947
algorithm1;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);tmp3 = (C D);2022-10-20 12:40:05.388947
algorithm1;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-10-20 12:40:06.388947
algorithm5;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-10-20 12:46:44.388947
algorithm5;gemm_8.44e+05;8.44e+05;gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);tmp4 = (A tmp2);2022-10-20 12:46:45.388947
algorithm5;gemm_8.44e+05;8.44e+05;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-10-20 12:46:46.388947
algorithm3;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-10-20 12:43:24.388947
algorithm3;gemm_6.75e+04;6.75e+04;gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);tmp5 = (B tmp3);2022-10-20 12:43:25.388947
algorithm3;gemm_8.44e+05;8.44e+05;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-10-20 12:43:26.388947
